date,all_workers,hourly_workers,non_hourly_workers,less_than_high_school,high_school,some_college,college,construction,finance,manufacturing
12/1/1997,11.0809570448,14.384926274,6.6726276498,16.6963212747,12.1046565837,11.6139250524,7.6656731472,16.5417820482,10.4518379436,10.9233136512
01/1/1998,11.0870896023,14.5580537354,6.4327046869,16.5610354746,12.4266836321,11.4750664814,7.5069833754,17.8135828319,10.3492977611,11.0905948138
02/1/1998,10.8155501056,14.3496901394,6.1336559181,15.7309048371,12.4624181741,11.1422484295,7.2074501046,18.2529649914,10.0735472246,10.4741781359
03/1/1998,10.9064471422,14.5251561312,6.148632541,15.5522636436,12.4977509234,11.2180840481,7.4047212795,17.8805149603,10.1176576474,10.5023543595
04/1/1998,10.6229940556,14.188931105,5.9684440875,14.9610578827,12.0705102924,11.0564504397,7.2731765479,17.264379529,8.8382420437,9.992697133
05/1/1998,10.472154083,13.9986620067,5.8597624057,14.9238801095,11.734986275,11.2820387424,6.9691712778,16.7777280503,8.5398598455,10.2061457367
06/1/1998,10.4987218933,14.2236316823,5.6161798165,15.1146190191,12.1269801867,11.1857603391,6.6880193695,16.2972654715,9.0689918307,10.2191011017
07/1/1998,10.4278095293,14.0846161224,5.493800469,14.8682538972,12.1241185922,11.1141938923,6.5086731087,16.8069173354,8.9272131057,10.2732488545
08/1/1998,10.3071575299,13.943610501,5.409867802,13.6162807649,12.2349258525,11.0611718485,6.5094512913,15.1710085183,8.3245047783,10.4964769081
09/1/1998,10.573995204,14.3032604202,5.5524781322,13.9293853311,12.5201322678,11.2007251507,6.8322821201,14.6427955159,9.2008142075,10.7732575648
10/1/1998,10.4267472879,14.1075534428,5.5052342228,14.3740194651,12.4733735757,10.70523627,6.7212918114,14.3967726596,9.1908258994,10.7854993658
11/1/1998,10.4775778692,14.250747476,5.4633821599,14.0222302048,12.5070334821,10.843185605,6.8127157229,13.8661516526,8.9504313712,10.8231999817
12/1/1998,10.4479648864,14.1798979491,5.4577901608,14.3957832332,12.3724202999,10.8235246537,6.7664226343,13.4488763047,8.4076464628,10.3544693241
01/1/1999,10.2679350868,13.8628351749,5.4812567036,14.3030044339,12.0885806439,10.7840717504,6.5313165017,11.8797575265,8.4824906182,9.9874608163
02/1/1999,10.2954383051,13.8260843796,5.56974908,14.7562603061,11.9550717473,10.5808240883,6.7671718914,11.7069363606,8.1824945526,10.3036700447
03/1/1999,10.2391248675,13.7271323504,5.5432555168,14.3683256937,12.066194268,10.5510901768,6.6645924067,11.9556339256,7.9696016876,10.2646280106
04/1/1999,10.4397681083,14.0867402108,5.5638095547,14.5583161124,12.3427427734,10.6723473306,6.902280028,12.5959140781,8.5652492961,10.6552065115
05/1/1999,10.5798214232,14.1712053326,5.8062527976,14.8483815934,12.7066927536,10.7082885097,6.8479229303,13.6050419506,8.3605253085,10.3011940186
06/1/1999,10.3504149368,13.7966656906,5.7422197853,14.3791956911,12.1182694153,10.3790519663,7.1442605586,12.9721128229,7.7787895549,9.8456922859
07/1/1999,10.4437705746,13.9329630567,5.8943226473,14.6850514492,12.298875801,10.582005579,7.0215494109,12.6651775674,7.7658635528,10.3267496117
08/1/1999,10.410806221,13.969669061,5.8088583686,15.1504739594,12.3765139262,10.2737111254,6.993615435,12.6462818181,7.7458661912,10.244859407
09/1/1999,10.3515892148,13.8558000836,5.8301994695,15.050225437,12.2729407116,10.2156928972,7.0731295651,13.0012899459,6.9257732101,9.8163242006
10/1/1999,10.4673635826,14.1029036215,5.7902543197,15.1634309553,12.4487485713,10.4573042118,7.0228709547,13.0710533353,7.2158494014,10.1447241011
